===== TILESET outdoor
  ID |  ID | BASE |  SOUND | SOLID | PATH | SHORE |  BOAT | FLY | OPAQUE |  FOREST | TM | BATTLE EXPANSION           | BATTLE EXPANSION                   
  14 |  20 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 3C 3C 3C 14 3C 3C 9B 13 14 |  60  60  60  20  60  60 155  19  20
  15 |  21 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 3C 3C 3C 20 3C 1F 01 3C 02 |  60  60  60  32  60  31   1  60   2
  16 |  22 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 03 1E 3C 3C 3C 3C 04 20 3C |   3  30  60  60  60  60   4  32  60
  17 |  23 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 3C 1D 03 3C 3C 3C 3C 1F 04 |  60  29   3  60  60  60  60  31   4
  18 |  24 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 01 3C 02 1E 3C 1D 3C 3C 3C |   1  60   2  30  60  29  60  60  60
  19 |  25 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 9C 9D 9C 9E 19 03 9C 01 3C | 156 157 156 158  25   3 156   1  60
  1A |  26 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 9B 9D 9B 03 1A 9E 3C 02 9D | 155 157 155   3  26 158  60   2 157
  1B |  27 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 9B 01 3C 9B 1B 04 9B 9D 9B | 155   1  60 155  27   4 155 157 155
  1C |  28 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 3C 02 9D 04 1C 9E 9B 9E 9D |  60   2 157   4  28 158 155 158 157
  1D |  29 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 3C 02 9E 3C 1D 03 3C 3C 3C |  60   2 158  60  29   3  60  60  60
  1E |  30 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 9B 01 3C 03 1E 3C 3C 3C 3C | 155   1  60   3  30  60  60  60  60
  1F |  31 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 3C 3C 3C 3C 1F 04 3C 02 9B |  60  60  60  60  31   4  60   2 155
  20 |  32 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 3C 3C 3C 04 20 3C 9B 01 3C |  60  60  60   4  32  60 155   1  60
  21 |  33 |      |     85 |       |      |       |       |     |        |         | 06 | 22 3C 3C 3C 21 3C 3C 22 21 |  34  60  60  60  33  60  60  34  33
  22 |  34 |      |     85 |       |      |       |       |     |        |         | 06 | 22 3C 22 23 21 3C 3C 23 21 |  34  60  34  35  33  60  60  35  33
  23 |  35 |      |     85 |       |      |       |       |     |        |         | 06 | 22 21 3C 3C 23 23 23 22 21 |  34  33  60  60  35  35  35  34  33
  24 |  36 |      |      0 |       |      |       |       |     |        |         | 00 | 24 24 24 24 24 24 24 24 24 |  36  36  36  36  36  36  36  36  36
  25 |  37 |      |      0 |       |      |       |       |     |        |         | 00 | 25 25 25 25 25 25 25 25 25 |  37  37  37  37  37  37  37  37  37
  26 |  38 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 01 3C 02 01 3C 02 01 3C 02 |   1  60   2   1  60   2   1  60   2
  27 |  39 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 03 03 03 3C 3C 3C 04 04 04 |   3   3   3  60  60  60   4   4   4
  28 |  40 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 01 3C 02 01 3C 02 1B 04 1C |   1  60   2   1  60   2  27   4  28
  29 |  41 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 19 03 03 01 3C 3C 1B 04 04 |  25   3   3   1  60  60  27   4   4
  2A |  42 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 19 03 1A 01 3C 02 01 3C 02 |  25   3  26   1  60   2   1  60   2
  2B |  43 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 03 03 1A 3C 3C 02 04 04 1C |   3   3  26  60  60   2   4   4  28
  2C |  44 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 1E 3C 1D 3C 3C 3C 04 04 04 |  30  60  29  60  60  60   4   4   4
  2D |  45 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 01 3C 1D 01 3C 3C 01 3C 1F |   1  60  29   1  60  60   1  60  31
  2E |  46 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 03 03 03 3C 3C 3C 20 3C 1F |   3   3   3  60  60  60  32  60  31
  2F |  47 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 1E 3C 02 3C 3C 02 20 3C 02 |  30  60   2  60  60   2  32  60   2
  30 |  48 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 19 03 03 01 3C 3C 01 3C 1F |  25   3   3   1  60  60   1  60  31
  31 |  49 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 03 03 1A 3C 3C 02 20 3C 02 |   3   3  26  60  60   2  32  60   2
  32 |  50 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 01 3C 1D 01 3C 3C 1B 04 04 |   1  60  29   1  60  60  27   4   4
  33 |  51 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 1E 3C 02 3C 3C 02 04 04 1C |  30  60   2  60  60   2   4   4  28
  34 |  52 |      |     83 |       |      |       |       |     |        |         | 04 | 9C 9B 9E 9E 34 9B 9B 9C 9D | 156 155 158 158  52 155 155 156 157
  35 |  53 |      |     84 |       |      |       |       |     |        |         | 04 | 9C 9B 9E 9E 35 9B 9B 9C 9D | 156 155 158 158  53 155 155 156 157
  36 |  54 |      |     82 |       |      |       |       |     |        |         | 04 | 9C 9B 9E 9E 36 9B 9B 9C 9D | 156 155 158 158  54 155 155 156 157
  37 |  55 |      |     82 |       |      |       |       |     |        |         | 01 | 37 37 37 37 37 37 37 37 37 |  55  55  55  55  55  55  55  55  55
  38 |  56 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 1F 20 3C 1D 1E 3A 38 3C 3C |  31  32  60  29  30  58  56  60  60
  39 |  57 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 3A 1F 20 1F 1C 01 1D 03 1E |  58  31  32  31  28   1  29   3  30
  3A |  58 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 1F 14 3B 02 A0 06 1D 03 1E |  31  20  59   2 160   6  29   3  30
  3B |  59 |      |     88 |       |      | SHORE |       |     |        |         | 06 | 3B 1F 20 1F 1C 0A 1D 12 39 |  59  31  32  31  28  10  29  18  57
  3C |  60 |      |     88 |       |      |       | WATER |     |        |         | 07 | 3C 3C 3C 3C 3C 3C 3C 3C 3C |  60  60  60  60  60  60  60  60  60
  3D |  61 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 3D 3D 3D 3D 3D 3D 3D 3D 3D |  61  61  61  61  61  61  61  61  61
  3E |  62 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 3D 3D 40 3D 3F 9E 3E 9C 9C |  61  61  64  61  63 158  62 156 156
  3F |  63 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 3D 3D 3F 3D 40 9C 3E 9C 9C |  61  61  63  61  64 156  62 156 156
  40 |  64 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 3D 3D 3E 3D 3F 9C 40 9C 9C |  61  61  62  61  63 156  64 156 156
  41 |  65 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 9B 9B 43 9B 42 3D 41 3D 3D | 155 155  67 155  66  61  65  61  61
  42 |  66 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 9B 9B 41 9B 43 3D 42 3D 3D | 155 155  65 155  67  61  66  61  61
  43 |  67 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 9B 9B 42 9B 41 3D 43 3D 3D | 155 155  66 155  65  61  67  61  61
  44 |  68 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 46 3D 3D 9C 45 3D 9C 9C 44 |  70  61  61 156  69  61 156 156  68
  45 |  69 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 44 3D 3D 9C 46 3D 9C 9C 45 |  68  61  61 156  70  61 156 156  69
  46 |  70 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 45 3D 3D 9C 44 3D 9C 9C 46 |  69  61  61 156  68  61 156 156  70
  47 |  71 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 49 9B 9B 3D 48 9B 3D 3D 47 |  73 155 155  61  72 155  61  61  71
  48 |  72 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 47 9B 9B 3D 49 9B 3D 3D 48 |  71 155 155  61  73 155  61  61  72
  49 |  73 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 48 9B 9B 3D 47 9B 3D 3D 49 |  72 155 155  61  71 155  61  61  73
  4A |  74 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 3D 3D 4C 3D 3D 4B 3D 3D 4A |  61  61  76  61  61  75  61  61  74
  4B |  75 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 3D 3D 4C 3D 3D 4A 3D 3D 4C |  61  61  76  61  61  74  61  61  76
  4C |  76 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 3D 3D 4B 3D 3D 4C 3D 3D 4A |  61  61  75  61  61  76  61  61  74
  4D |  77 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 4F 3D 3D 4D 3D 3D 4E 3D 3D |  79  61  61  77  61  61  78  61  61
  4E |  78 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 4D 3D 3D 4E 3D 3D 4F 3D 3D |  77  61  61  78  61  61  79  61  61
  4F |  79 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 4E 3D 3D 4D 3D 3D 4F 3D 3D |  78  61  61  77  61  61  79  61  61
  50 |  80 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 3D 3D 3D 3D 3D 3D 50 52 51 |  61  61  61  61  61  61  80  82  81
  51 |  81 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 3D 3D 3D 3D 3D 3D 51 50 52 |  61  61  61  61  61  61  81  80  82
  52 |  82 |      |     87 | SOLID |      |       |       |     | OPAQUE |         | 00 | 3D 3D 3D 3D 3D 3D 52 51 50 |  61  61  61  61  61  61  82  81  80
  53 |  83 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 53 54 55 3D 3D 3D 3D 3D 3D |  83  84  85  61  61  61  61  61  61
  54 |  84 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 54 53 55 3D 3D 3D 3D 3D 3D |  84  83  85  61  61  61  61  61  61
  55 |  85 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 54 55 53 3D 3D 3D 3D 3D 3D |  84  85  83  61  61  61  61  61  61
  56 |  86 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 3C 3C 56 3C 56 3D 56 3D 3D |  60  60  86  60  86  61  86  61  61
  57 |  87 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 57 3C 3C 3D 57 3C 3D 3D 57 |  87  60  60  61  87  60  61  61  87
  58 |  88 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 58 3D 3D 3C 58 3D 3C 3C 58 |  88  61  61  60  88  61  60  60  88
  59 |  89 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 3D 3D 59 3D 59 3C 59 3C 3C |  61  61  89  61  89  60  89  60  60
  5A |  90 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 5A 3D 3D 5A 3D 3D 5A 3D 3D |  90  61  61  90  61  61  90  61  61
  5B |  91 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 3D 3D 5B 3D 3D 5B 3D 3D 5B |  61  61  91  61  61  91  61  61  91
  5C |  92 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 5C 5C 5C 3D 3D 3D 3D 3D 3D |  92  92  92  61  61  61  61  61  61
  5D |  93 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 3D 3D 3D 3D 3D 3D 5D 5D 5D |  61  61  61  61  61  61  93  93  93
  5E |  94 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 9B 5E 9D 9E 5E 9B 9B 5E 9E | 155  94 157 158  94 155 155  94 158
  5F |  95 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 9B 9D 9D 5F 5F 5F 9B 9D 9E | 155 157 157  95  95  95 155 157 158
  60 |  96 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 9B 5E 9D 9E 60 5F 9B 5E 9E | 155  94 157 158  96  95 155  94 158
  61 |  97 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 9B 5E 9D 5F 61 9B 9B 5E 9E | 155  94 157  95  97 155 155  94 158
  62 |  98 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 9B 5E 9D 9E 62 5F 9B 9D 9D | 155  94 157 158  98  95 155 157 157
  63 |  99 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 9B 5E 9D 5F 63 9B 9B 9B 9E | 155  94 157  95  99 155 155 155 158
  64 | 100 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 9B 5E 9D 5F 64 5F 9B 5E 9E | 155  94 157  95 100  95 155  94 158
  65 | 101 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 9B 5E 9D 5F 65 5F 9B 9B 9E | 155  94 157  95 101  95 155 155 158
  66 | 102 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 9B 9C 9D 5F 66 5F 9B 5E 9E | 155 156 157  95 102  95 155  94 158
  67 | 103 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 9B 9B 9D 9E 67 5F 9B 5E 9E | 155 155 157 158 103  95 155  94 158
  68 | 104 |      |      0 | SOLID |      |       |       |     | OPAQUE |         | 00 | 9B 9C 9D 5F 68 9B 9B 5E 9E | 155 156 157  95 104 155 155  94 158
  69 | 105 |      |     88 |       |      | SHORE |       |     | OPAQUE |         | 06 | 19 03 03 01 3C 3C 1B 04 04 |  25   3   3   1  60  60  27   4   4
  6A | 106 |      |     88 |       |      | SHORE |       |     | OPAQUE |         | 06 | 03 03 1A 3C 3C 02 04 04 1C |   3   3  26  60  60   2   4   4  28
  6B | 107 |      |     88 |       |      | SHORE |       |     | OPAQUE |         | 06 | 01 3C 02 01 3C 02 1B 04 1C |   1  60   2   1  60   2  27   4  28
  6C | 108 |      |     88 |       |      | SHORE |       |     | OPAQUE |         | 06 | 19 03 1A 01 3C 02 01 3C 02 |  25   3  26   1  60   2   1  60   2
  6D | 109 |      |     85 |       |      |       |       |     | OPAQUE |         | 05 | A0 9D A0 9F 9C 9D 9E 9D 9F | 160 157 160 159 156 157 158 157 159
  6E | 110 |      |     85 |       |      |       |       |     | OPAQUE |         | 05 | A0 9D A0 9F 9C 9D 9E 9D 9F | 160 157 160 159 156 157 158 157 159
  6F | 111 |      |     85 |       |      |       |       |     | OPAQUE |         | 05 | A0 9D A0 9F 9C 9D 9E 9D 9F | 160 157 160 159 156 157 158 157 159
  70 | 112 |      |     85 |       |      |       |       |     | OPAQUE |         | 05 | A0 9D A0 9F 9C 9D 9E 9D 9F | 160 157 160 159 156 157 158 157 159
  71 | 113 |      |     83 |       |      |       |       |     | OPAQUE |         | 02 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  72 | 114 |      |     83 |       |      |       |       |     | OPAQUE |         | 02 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  73 | 115 |      |     84 |       |      | SHORE |       |     |        |         | 02 | 3C 3C 3C 73 73 73 3C 3C 3C |  60  60  60 115 115 115  60  60  60
  74 | 116 |      |     84 |       |      | SHORE |       |     |        |         | 02 | 3C 02 9D 73 74 9C 3C 02 A0 |  60   2 157 115 116 156  60   2 160
  75 | 117 |      |     84 |       |      | SHORE |       |     |        |         | 02 | 9D 01 3C 9E 75 73 9D 01 3C | 157   1  60 158 117 115 157   1  60
  76 | 118 |      |     86 |       |      |       |       |     |        |   TREES | 04 | 76 76 76 76 76 76 76 76 76 | 118 118 118 118 118 118 118 118 118
  77 | 119 |      |     86 |       |      |       |       |     |        |   TREES | 04 | 77 77 77 77 77 77 77 77 77 | 119 119 119 119 119 119 119 119 119
  78 | 120 |      |     86 |       |      |       |       |     |        |   TREES | 04 | 78 78 78 78 78 78 78 78 78 | 120 120 120 120 120 120 120 120 120
  79 | 121 |      |     86 |       |      |       |       |     |        |   TREES | 05 | 79 79 79 79 79 79 79 79 79 | 121 121 121 121 121 121 121 121 121
  7A | 122 |      |     82 |       |      |       |       |     |        |   TREES | 02 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  7B | 123 |      |     82 |       |      |       |       |     |        |   TREES | 02 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  7C | 124 |      |     82 |       |      |       |       |     |        |   TREES | 02 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  7D | 125 |      |     82 |       |      |       |       |     |        |   TREES | 02 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  7E | 126 |      |     82 |       |      |       |       |     |        |   TREES | 02 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  7F | 127 |      |     82 |       |      |       |       |     |        |   TREES | 02 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  80 | 128 |      |     82 |       |      |       |       |     |        |   TREES | 02 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  81 | 129 |      |     82 |       |      |       |       |     |        |   TREES | 02 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  82 | 130 |      |     82 |       |      |       |       |     |        |         | 01 | 01 3C 02 75 73 74 01 3C 02 |   1  60   2 117 115 116   1  60   2
  83 | 131 |      |     82 |       |      |       |       |     |        |         | 01 | 0E 37 11 3C 37 3C 10 37 13 |  14  55  17  60  55  60  16  55  19
  84 | 132 |      |     82 |       |      |       |       |     |        |         | 01 | 9B 9B 9C 37 37 37 9B 9B 9C | 155 155 156  55  55  55 155 155 156
  85 | 133 |      |     82 |       |      |       |       |     |        |         | 01 | 9B 37 9C 9D 37 9D 9B 37 9C | 155  55 156 157  55 157 155  55 156
  86 | 134 |      |     82 |       |      |       |       |     |        |         | 01 | 9B 37 9C 37 37 37 9B 37 9C | 155  55 156  55  55  55 155  55 156
  87 | 135 |      |     82 |       |      |       |       |     |        |         | 01 | 9B 9C 9C 37 37 37 9B 37 9C | 155 156 156  55  55  55 155  55 156
  88 | 136 |      |     82 |       |      |       |       |     |        |         | 01 | 9D 37 9C 37 37 37 9B 9D 9C | 157  55 156  55  55  55 155 157 156
  89 | 137 |      |     82 |       |      |       |       |     |        |         | 01 | 9B 37 9C 9D 37 37 9D 37 9C | 155  55 156 157  55  55 157  55 156
  8A | 138 |      |     82 |       |      |       |       |     |        |         | 01 | 9B 37 9C 37 37 9C 9C 37 9C | 155  55 156  55  55 156 156  55 156
  8B | 139 |      |     82 |       |      |       |       |     |        |         | 01 | 9B 9E 9C 9E 37 37 9B 37 9C | 155 158 156 158  55  55 155  55 156
  8C | 140 |      |     82 |       |      |       |       |     |        |         | 01 | 9B 37 9C 37 37 9D 9B 9F 9C | 155  55 156  55  55 157 155 159 156
  8D | 141 |      |     82 |       |      |       |       |     |        |         | 01 | 9B 37 9C 9F 37 37 9B 9F 9C | 155  55 156 159  55  55 155 159 156
  8E | 142 |      |     82 |       |      |       |       |     |        |         | 01 | 9C 9B 9C 37 37 9B 9B 37 9C | 156 155 156  55  55 155 155  55 156
  8F | 143 |      |     82 |       |      |       |       |     |        |         | 01 | 9B 9B 9C 9E 37 37 9E 9B 9C | 155 155 156 158  55  55 158 155 156
  90 | 144 |      |     82 |       |      |       |       |     |        |         | 01 | 9B 9C 9C 9C 37 9C 9B 37 9C | 155 156 156 156  55 156 155  55 156
  91 | 145 |      |     82 |       |      |       |       |     |        |         | 01 | 9E 9C 9C 37 37 9E 9B 9C 9C | 158 156 156  55  55 158 155 156 156
  92 | 146 |      |     82 |       |      |       |       |     |        |         | 01 | 9B 37 9C 9B 37 9B 9F 9B 9C | 155  55 156 155  55 155 159 155 156
  93 | 147 |      |     84 |       |      |       |  BOAT |     |        |         | 07 | 3C 3C 3C 3C 3C 3C 3C 3C 3C |  60  60  60  60  60  60  60  60  60
  94 | 148 |      |     87 |       |      |       |       |     |        |         | 03 | 9D 9C 9E 9E 94 9D 9C 9E 9C | 157 156 158 158 148 157 156 158 156
  95 | 149 |      |     87 |       |      |       |       |     |        |         | 04 | 9D 95 9D 9E 9D 95 9D 95 A0 | 157 149 157 158 157 149 157 149 160
  96 | 150 |      |     86 |       |      |       |       |     |        |         | 04 | 96 9D 9D 9D 96 96 96 9D A0 | 150 157 157 157 150 150 150 157 160
  97 | 151 |      |     87 | LARGE |      |       |       |     | OPAQUE |         | 05 | 97 9C 9B 98 9C 97 9B 97 98 | 151 156 155 152 156 151 155 151 152
  98 | 152 |      |     87 |       |      |       |       |     |        |         | 03 | 97 98 9B 98 9B 97 9B 9C 98 | 151 152 155 152 155 151 155 156 152
  99 | 153 |      |     87 | LARGE |      |       |       |     | OPAQUE |         | 05 | 99 9C 9B 9A 9B 99 9B 99 9A | 153 156 155 154 155 153 155 153 154
  9A | 154 |      |     87 |       |      |       |       |     |        |         | 03 | 9C 9A 99 99 9C 9A 9A 9C 9C | 156 154 153 153 156 154 154 156 156
  9B | 155 |      |     82 |       |      |       |       |     |        |         | 02 | 9C 9B 9B 9E 9B 9B 9B 9C 9D | 156 155 155 158 155 155 155 156 157
  9C | 156 | BASE |     82 |       |      |       |       |     |        |         | 02 | 9C 9E 9C 9C 9B 9C 9C 9C 9D | 156 158 156 156 155 156 156 156 157
  9D | 157 |      |     83 |       |      |       |       |     |        |         | 02 | 9D 9B 9E 9B 9C 9B 9B 9E 9D | 157 155 158 155 156 155 155 158 157
  9E | 158 |      |     82 |       |      |       |       |     |        |         | 02 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  9F | 159 |      |     85 |       |      |       |       |     |        |         | 04 | 9F 9D 9C A0 9F 9D 9F 9D A0 | 159 157 156 160 159 157 159 157 160
  A0 | 160 |      |     86 |       |      |       |       |     |        |         | 04 | A0 9D A0 9F 9C 9D 9E 9D 9F | 160 157 160 159 156 157 158 157 159
  A1 | 161 |      |     82 |       |      |       |       |     |        |         | 05 | A0 A1 A0 9F A4 A1 A3 9D 9F | 160 161 160 159 164 161 163 157 159
  A2 | 162 |      |     85 |       |      |       |       |     |        |         | 05 | A2 9D A0 9F A2 A5 A5 9D 9F | 162 157 160 159 162 165 165 157 159
  A3 | 163 |      |     82 |       |      |       |       |     |        |         | 05 | A3 9D A5 9F A3 9D 9E A5 9F | 163 157 165 159 163 157 158 165 159
  A4 | 164 |      |     85 |       |      |       |       |     |        |         | 05 | A4 9D A3 9F A3 A4 A4 9D 9F | 164 157 163 159 163 164 164 157 159
  A5 | 165 |      |     82 |       |      |       |       |     |        |         | 05 | A0 A3 A0 A5 A5 9D A3 9D 9F | 160 163 160 165 165 157 163 157 159
  A6 | 166 |      |     85 |       |      |       |       |     |        |         | 04 | A6 A7 A0 9F A6 9D A7 9D 9F | 166 167 160 159 166 157 167 157 159
  A7 | 167 |      |     82 |       |      |       |       |     |        |         | 05 | A7 9D A6 9F A6 A7 9E A7 9E | 167 157 166 159 166 167 158 167 158
  A8 | 168 |      |      0 |       |      |       |       |     |        |         | 00 | 00 00 00 00 00 00 00 00 00 |   0   0   0   0   0   0   0   0   0
  A9 | 169 |      |     82 |       | PATH |       |       |     |        |         | 05 | 9D 9B 9C 9B 9D 9B 9D 9C 9E | 157 155 156 155 157 155 157 156 158
  AA | 170 |      |     82 |       |      |       |       |     |        |         | 03 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
  AB | 171 |      |     82 |       |      |       |       |     |        |         | 03 | 9C 9B 9E 9E 9D 9B 9B 9C 9D | 156 155 158 158 157 155 155 156 157
